id;name;abbreviation;description
1;Keyboard;Sleek Awesome;Direct
2;Salad Tactics knowledge base;framework withdrawal SDD;next generation Re-engineered
3;Maine Mouse;monitor cross-platform backing up;back up Product
4;Buckinghamshire Electronics Delaware;Buckinghamshire Savings Account Ball;JBOD Money Market Account white
5;Buckinghamshire;framework;Avon Implemented communities
6;infrastructures panel;navigate;Fundamental fuchsia
7;next generation Mountains;utilize PCI Director;Wyoming PNG Louisiana
8;virtual;Kuwait;eyeballs transmitter
9;SAS mint green Chilean Peso Unidades de fomento;Croatia Knolls functionalities;Architect Liaison Orchestrator
10;back-end Nevada Human;calculating;infomediaries Morocco Money Market Account
