id;name;domain;description
1;grey Concrete;Applications Cheese digital;Yen microchip
2;Consultant invoice;olive;application architectures redefine
3;Pre-emptive Frozen;SAS Dynamic Handcrafted Cotton Shoes;Home
4;global value-added;Frozen Alley;Adaptive Moldova Idaho
5;Auto Loan Account unleash communities;Sports Networked Ameliorated;Sports Frozen
6;digital SCSI;engineer Tunnel Missouri;methodical Product Way
7;multi-tasking archive Corporate;RAM Borders National;Implementation Soft
8;Managed;quantifying;Architect Rubber Agent
9;wireless;Investment Account Rustic;programming Centralized Integration
10;explicit enable;card Tools;success haptic
